Issue ID,Book,Location,Severity,Issue,Proposed correction,Owner,Reviewer,Status
PCL-08,PCL-AI,"domain-07-contracts-commercial.md — ""7.1.3 Cost-plus and incentive forms"" (and ""7.1.4 Target cost and pain/gain"")",major,"Cost-plus (CPFF/CPIF/CPAF), target-cost and reimbursable EPC forms are taught, and the pain/gain and fee arithmetic worked in detail, with no treatment of what makes a cost reimbursable. The terms ""allowable cost"", ""disallowed cost"", ""open book"" and ""audit rights"" appear nowhere in Domains 5 or 7. Every worked example uses an undefined ""actual cost"" as the input to fee and pain/gain, when in practice the contract defines allowable/defined cost, excludes categories (contractor default, rectification, corporate overhead, non-productive time), and grants the client open-book inspection and audit rights. The controls professional's core duty on a reimbursable form — coding and segregating cost so it survives the client's audit, and forecasting on allowable cost rather than total cost — is therefore never stated, and a candidate could compute a pain-share on a base that the client would disallow.","Add a paragraph in 7.1.3 (cross-referenced from 7.1.4 and Domain 5 KA 5.2) defining allowable/defined cost as a contract-defined subset, listing typical exclusions, and stating the two obligations that follow: the cost ledger must be coded so allowable and non-allowable cost are separable at source (Domain 5, KA 5.2.3), and the records must be maintained in an audit-ready state because the client holds inspection/audit rights for a contractually stated period. Add one sentence to worked examples 7.1.3 and 7.1.4b noting that ""actual cost"" there means audited allowable cost, and add a ""Basis of actual cost — allowable cost definition and audit rights"" row to Toolkit 7.T.1.",unassigned,unassigned — Gate 3,Open
PCL-09,PCL-AI,"domain-07-contracts-commercial.md — ""7.2.2 Variations and claims"" (recurs at ""7.4.2 Certification and payment"" and ""Advanced 7.A.6 — When agreement fails: the dispute-resolution ladder"")",major,"KA 7.2/7.4 teach the commercial machinery of claims and payment with the legal layer that decides whether entitlement survives entirely missing. (a) 7.2.2 says a claim ""must be notified"" but never states that under most standard forms the notice is a CONDITION PRECEDENT — a valid claim served late is extinguished on lateness alone, regardless of merit. The point appears only as an aside in Toolkit 7.T.1's usage note (""entitlement is lost for want of a notice served in time""); it is absent from the teaching topic, the worked example, the key terms and all KA 7.2 MCQs. (b) 7.4.2 presents certification and payment as purely contractual, with no mention of the statutory payment regimes that override contract in many jurisdictions (payment/pay-less notice regimes, prohibitions on pay-when-paid, prompt-payment statutes). (c) Advanced 7.A.6 states ""Contracts arrange what happens next as an escalating ladder"" and lists adjudication as a contractual rung — affirmatively misleading in the many jurisdictions where adjudication is a statutory right that exists whether or not the contract provides for it, and where the timetable is fixed by statute, not by agreement.","Add a short topic (e.g. 7.2.6 ""Notices, time bars and the statutory overlay"") and cross-reference it from 7.4.2 and 7.A.6, stating: (1) many forms make notice a condition precedent, so the controls professional's first act on any potentially compensable event is to diarise and serve the notice — with a worked example of a meritorious claim defeated on time bar, plus one KA 7.2 MCQ testing it; (2) some jurisdictions impose statutory payment mechanics and a statutory right to adjudication that override contrary contract terms, characterised generically as ""statutory regimes exist in several jurisdictions; the governing law and the contract must both be checked, and local legal advice obtained"" — no clause numbers, consistent with Conventions §9; (3) amend 7.A.6's opening so the ladder is described as set by the contract AND by any applicable statutory regime.",unassigned,unassigned — Gate 3,Open
PCL-10,PCL-AI,"domain-07-contracts-commercial.md — ""AI in this KA"" block in KA 7.5 (recurs at domain-01-foundations-of-accounting.md KA 1.3 and domain-05-cost-management.md KA 5.2)",major,"Every ""AI in this KA"" block in Domains 1–7 states the verification duty (""AI proposes; the professional verifies…"") but none states the confidentiality prohibition, even where the AI input is the most sensitive material a controls professional handles. Domain 7's single AI block instructs practitioners to use AI for ""extracting terms and variation clauses from contracts… digitising daywork sheets"" and analysing claims; Domain 1's KA 1.3 block covers payroll and timesheet accrual data. A grep for ""confidential"", ""privilege"", ""personal data"" or ""data protection"" across Domains 1–7 returns nothing. Domain 13 states the guardrail as absolute (13.2.5, 13.3.4: ""Never paste confidential or personal data into an ungoverned public tool""), but Domains 1–7 never cross-reference it — so the KAs that describe the highest-risk AI inputs (live contracts, claim files under a confidentiality clause or potentially privileged, employee timesheet data) carry capability without the limit.","Add one clause to each AI block whose described input is confidential, personal or potentially privileged: ""…and only in a governed tool — live contracts, claim files and personal data must never be entered into an ungoverned or public tool (13.2.5, 13.3.4; PCI-LAW-F-09)."" Priority order: Domain 7 KA 7.5 (contracts/claims — add the additional note that a claim file may attract legal privilege and that legal should confirm before any external tool is used), Domain 1 KA 1.3 (payroll/timesheets), Domain 5 KA 5.2 (supplier and cost-ledger data), Domain 2 KA 2.2 (contract extraction), Domain 4 KA 4.3 (packs containing pre-disclosure numbers).",unassigned,unassigned — Gate 3,Open
PCL-11,PCL-AI,"domain-07-contracts-commercial.md — ""Toolkit 7.T.2 — Claim/variation file checklist"" (recurs at domain-01-foundations-of-accounting.md ""Toolkit 1.T.1 — Month-end close checklist"" and ""Toolkit 1.T.2 — Accrual pack template"")",major,"Record-retention expectations are absent from all seven domains. The books' toolkits establish evidence and audit-trail discipline well (accrual basis columns, change logs, control-account budget logs, the claim file) but no artefact anywhere states how long any of it must be kept, by whom, or against what. This matters most in Domain 7: the claim file IS the case (7.A.6 says the tribunal ""sees only what was recorded at the time""), yet 7.T.2's final item is ""File progressed to agreement"" with no retention requirement — so a candidate is taught to build the file and never told it must survive the applicable limitation/prescription period and the contract's own record-retention and audit-rights clauses. The same gap runs through Domain 1's close pack (statutory accounting-record retention periods, which vary by jurisdiction) and Domain 6's baseline logs.","Add a retention line to the toolkits and one sentence to the parent topic in each case: 7.T.2 — ""Retention: the complete claim file is retained for the period set by the contract's records/audit clause and by the applicable limitation or prescription period for claims under the governing law, whichever is longer; confirm the period locally, as it varies by jurisdiction and by whether the contract is executed as a deed."" 1.T.1/1.T.2 — ""Retention: close packs and accrual support are retained per the entity's statutory accounting-record retention period and audit requirements."" Toolkit 6.T.1 — baseline change and reserve logs retained for the life of the programme plus the audit period. Cross-reference PCI-LAW-F-12 (Record Retention).",unassigned,unassigned — Gate 3,Open
PCL-12,PCL-AI,"domain-08-pm-lifecycle.md — 8.4.2 ""Integrated change control""",major,"The domain's central control is asserted but never operationalised. 8.4.2 is a single paragraph: it states that changes must be assessed cross-constraint and that ""The controls professional runs the impact assessment and maintains the change log"" — and stops. It supplies no decision rights (who authorises a change: change control board, project manager, sponsor, client, at what value thresholds), no required content or minimum evidence for a change request, no rule that unapproved change must not be executed, no path for urgent/emergency change and its retrospective ratification, no escalation trigger where a change breaches the baseline or the contract, and no record-retention expectation. Searching the six domains for ""change control board"", ""CCB"", ""delegated authority"", ""approval threshold"" returns nothing. Toolkit 8.T.1 checks only that the change log is ""reconciled""; the Case B example authorises USD 9,600,000 ""from programme reserve"" with the approver unnamed. The single most audit-exposed process in project controls is therefore taught with no governance mechanics.","Expand 8.4.2 with: (a) a decision-rights paragraph — the change control board (or named authority) approves, with value/impact thresholds escalating to sponsor, client and board, and the rule that the assessor is never the approver; (b) minimum evidence for a change request — unique ID, originator, cause, the cross-constraint impact assessment (scope, schedule, cost, quality, risk and benefit), options considered, and the funding source; (c) the prohibition that no change is executed before authorisation, with an explicit emergency route that requires ratification at the next board and is logged as such; (d) escalation triggers — any change breaching a baseline tolerance, exceeding contingency, or altering a contractual obligation; (e) retention of the change log and its supporting assessments as part of the project record. Name the approver in the Case B table.",unassigned,unassigned — Gate 3,Open
PCL-13,PCL-AI,"domain-09-agile-adaptive.md — 9.5.4 ""Reconciling story points to % complete and IFRS 15"" (and MCQ 9.5-C)",major,"An accounting-policy judgement is assigned to the wrong role and given no jurisdictional frame. The KA closes ""The professional owns the forecast, the scope-change transparency and the revenue reconciliation"", and MCQ 9.5-C's correct answer has the controls professional ""recognise on the appropriate input basis (here cost-to-cost 35 %)"". Selecting and applying the measure of progress under IFRS 15 is an accounting-policy judgement owned by finance (the reporting entity's accounting-policy owner / CFO), applied consistently across similar performance obligations and tested by the external auditor; the controls professional supplies and reconciles the measurement inputs and cannot change the recognition basis. The text also never says that story-point percentage is not, on its own, an acceptable measure of progress, and never notes that US-GAAP preparers apply ASC 606 (no occurrence of ""ASC 606"" or ""US GAAP"" anywhere in the domain) — so a candidate outside IFRS jurisdictions is left with a rule they cannot apply. Contrast Domain 13 KA 13.5.10, which correctly reserves recognition judgements to a qualified person.","Rewrite the closing sentence to allocate decision rights: ""The controls professional owns the forecast, the scope-change transparency and the reconciliation of the three progress views; the measure of progress used for revenue recognition is an accounting-policy judgement made by finance, applied consistently and subject to external audit — the controls professional supplies and evidences the inputs, and does not select or change the recognition basis."" Add a sentence stating that story-point percentage is a proxy that is not itself an acceptable measure of progress and must be reconciled to the entity's chosen input method, and a one-line jurisdictional note that IFRS preparers apply IFRS 15 and US-GAAP preparers the equivalent ASC 606 model. Adjust MCQ 9.5-C's option A and rationale so the professional reconciles and refers the basis to finance rather than recognising.",unassigned,unassigned — Gate 3,Open
PCL-14,PCL-AI,"domain-10-scheduling.md — Advanced 10.A.6 ""Delay analysis methods""",major,"The most legally consequential topic in the domain names no external authority and carries no governing-law caveat. Five delay-analysis families are set out, the text says method choice ""decides the answer as much as the facts do"" and closes on ""choosing the method the tribunal will accept"" — yet the recognised sources practitioners and tribunals actually reference (the SCL Delay and Disruption Protocol, 2nd edition — voluntary guidance, not law; AACE Recommended Practice 29R-03) are absent, as is any statement that entitlement outcomes, the treatment of concurrent delay and the ownership of float differ materially by governing law and by contract form. There is no ""this is not legal advice; involve legal/claims counsel before a method is adopted or a position is asserted"" line. Domain 10 contains no external-standard anchor anywhere (Advanced 10.A.1 deliberately declines to name one for health checks), so this section carries the whole burden and does not.","Add a closing paragraph to 10.A.6: name the SCL Delay and Disruption Protocol (2nd ed.) and AACE RP 29R-03 as the two most-cited method taxonomies, characterised accurately as voluntary professional guidance that binds nobody unless the contract imports it; state that the contract's governing law determines how concurrency, float ownership and the prospective/retrospective choice are resolved, that positions differ between common-law and civil-law jurisdictions and between standard forms, and that a delay position is a legal position — the analyst supplies the method and the evidence, legal counsel and the contract decide entitlement. Cross-reference Domain 7 KA 7.2.2 and Advanced 7.A.1.",unassigned,unassigned — Gate 3,Open
PCL-15,PCL-AI,"domain-11-process-cycles.md — 11.3.1 ""Internal control""",major,"Internal control is defined in a domain whose subtitle is ""the control environment"" with no external framework anchor and no jurisdictional statement. The definition — ""reasonable assurance over the reliability of reporting, the effectiveness of operations, and compliance"" — is verbatim the COSO objectives triad, but COSO is never named anywhere in the file, nor is any auditing standard (e.g. ISA 315) or governance code. Nothing tells the candidate that documented internal control over financial reporting is a statutory obligation only for certain entity types in certain jurisdictions (e.g. management assertion and auditor attestation for SEC registrants under SOX 404) and is voluntary elsewhere, so the reader cannot tell whether ""compliance"" here means a legal duty or good practice. The same omission runs into Toolkit 11.T.1 (SoD matrix) and 11.T.2 (month-end controls checklist), which present control designs with no source and no scoping statement.","Add two sentences to 11.3.1: name the COSO Internal Control — Integrated Framework as the most widely used articulation of the objectives and components, characterised as a voluntary framework published by a private-sector body (adoption is the whole of its force; it is not legislation); and add a jurisdictional caveat stating that whether an entity must document, assess and have its internal control over financial reporting attested depends on its jurisdiction, listing status and size, that requirements differ materially between regimes, and that the applicable requirement — not this text — governs. Add a matching source line to Toolkit 11.T.1.",unassigned,unassigned — Gate 3,Open
PCL-16,PCL-AI,"domain-12-risk-management.md — 12.1.2 ""ISO 31000 principles"" (and MCQ 12.1-D, Key terms — KA 12.1)",major,"ISO 31000 is characterised as an instrument that can be breached, and the domain contradicts itself about it. 12.1.2 and the Key terms table describe ISO 31000 purely by content (""Principles/process for integrated, proportionate risk management"") and never state what kind of instrument it is — a voluntary international standard providing guidance, not requirements, not certifiable, and not law unless a contract or mandate imports it. MCQ 12.1-D then asks ""The ISO 31000 principle chiefly breached is"", with the rationale confirming that disconnecting risk from the numbers ""breaches integration"" — compliance framing of voluntary guidance. This directly contradicts MCQ 12.1-B two items earlier, whose rationale rejects the distractor ""Breaches ISO 31000 automatically"" on the ground that this is ""a calibration issue, not an automatic standard breach"". Domain 12's summary repeats the content-only framing. This is the exact overstatement the suite's external-reference register exists to prevent.","Add one sentence to 12.1.2: ""ISO 31000 is a voluntary international standard offering guidance rather than requirements; it is not intended for certification and has no force unless an organisation adopts it or a contract or mandate imports it — which is why the discipline below is described as principle-led rather than compliance-led."" Update the Key terms row to say the same. Reword MCQ 12.1-D's stem and rationale from ""breached"" to ""departed from"" (""The ISO 31000 principle this practice most clearly departs from is …""), restoring consistency with MCQ 12.1-B.",unassigned,unassigned — Gate 3,Open
PCL-17,PCL-AI,"domain-12-risk-management.md — 12.3.3 ""Drawing down and re-baselining"" (with 12.3.1 and Toolkit 12.T.2)",major,"Contingency draw-down is described as an arithmetic test with no governance around it. The text establishes that contingency is ""under the project manager's control"" and management reserve ""management-controlled"", but never states who authorises an individual draw, at what value it escalates, what evidence must accompany a draw request (the register ID of the materialised risk, evidence that it materialised, substantiation of the amount claimed), that the risk must simultaneously be closed and opened as an issue, or how long the record is kept. Toolkit 12.T.2 makes the ""Draw-down record"" and ""draw-down log"" an input to the quarterly review and asks ""Does every draw trace to a materialised register risk"" — but no section anywhere specifies that record's fields or its approval column, so the review's central question cannot be answered from anything the domain defines. The case study's USD 130,000 draw is made against a ""pre-agreed recovery"" with no approver named. The result is a control asserted at principle level and left unimplementable.","Add a ""Draw-down governance"" paragraph to 12.3.3 specifying: the draw-down request as the controlling artefact (date, register ID of the materialised risk, evidence of materialisation, amount and its substantiation, revised remaining exposure); approval by the project manager within a stated delegated limit and by the sponsor above it, with the requester never the approver; simultaneous closure of the register entry and opening of an issue; mandatory reporting of remaining contingency against remaining exposure in the period report; escalation to management reserve — a re-baselining event requiring the change authority of Domain 5 KA 5.4 — triggered when remaining contingency falls below remaining exposure at the stated P-level; and retention of the draw-down log with the project record. Add the approver and approval-date columns to Toolkit 12.T.1's drawn-contingency treatment.",unassigned,unassigned — Gate 3,Open
PCL-18,PCL-AI,"domain-13-ai-for-project-controls.md — 13.2.5 ""Privacy, confidentiality and preparing data"" (and 13.6.3; Case study B ""The pilot that worked — timesheet narratives"")",major,"Personal data is repeatedly invoked and never governed. 13.2.5 warns ""Never paste confidential or personal data into an ungoverned public tool"" and 13.6.3 notes ""data may cross jurisdictions"" — but no data-protection regime is named anywhere in the file, and no obligation is stated: no lawful basis, no privacy notice, no purpose limitation or minimisation, no data-subject rights, no data-protection impact assessment for higher-risk processing, no transfer-mechanism requirement when data crosses borders, and no statement that these duties vary by jurisdiction and by where the data subjects are. The gap becomes concrete in Case study B, where roughly 480,000 employee timesheet narratives a year are used to train and run a classifier whose output drives client invoices — large-scale processing of identifiable employee work records, presented with a cost-benefit calculation and no privacy treatment whatsoever (no notice, no consultation, no retention limit). Domain 8's stakeholder register (8.1.3), which records influence and attitude judgements about named individuals, carries the same silence.","Extend 13.2.5 from a confidentiality rule into a data-protection rule: before personal data reaches any AI tool, establish the lawful basis and purpose, minimise the fields, confirm the privacy notice covers the use, check whether a data-protection impact assessment is required, and confirm the transfer mechanism if processing crosses borders — stating plainly that these obligations arise under data-protection law that differs by jurisdiction (naming, as an illustrative reference, the GDPR as one such regime), that employee monitoring and workforce-data uses attract additional constraints and in some jurisdictions consultation duties, and that the applicable law governs. Add a two-sentence privacy paragraph to the timesheet pilot and a cross-reference from Domain 8 KA 8.1.3.",unassigned,unassigned — Gate 3,Open
PFL-02,PFL-AI,"domain-01-foundations.md — Knowledge Area 1.3 → ""1.3.1 Obligations and duties"" (candour about numbers)",major,"The book states the duty of candour only in the forward direction — how a forecast must be presented when it is first presented — and is silent on the duty that actually arises in practice: what a professional must do when an error is discovered in a number a lender, board, grantor or bidder has already relied on. This is not a hypothetical omission; the book's own material turns on it. Domain 6 Case study B is an entire case about a superseded traffic forecast that survived into a financing model, and it is resolved by the *lenders' auditor* finding it — the text never says what the sponsor's team was obliged to do had they found it themselves, or had it been found after close. Worked example 6.4.3 prices a material model error reaching close purely as an amendment cost, with no professional obligation attached. Nowhere in Domains 1–8 does the phrase ""correct the record"", ""notify the lender"" or ""duty to correct"" appear. The omission is compounded by the absence of any treatment of the sponsor's model and information representations, so a reader is never shown that an uncorrected known error in a base case is capable of being a misrepresentation with contractual consequence, not merely an embarrassment.","Extend 1.3.1's ""candour about numbers"" paragraph into a standing rule with the four elements the rest of the book's governance already uses. State: (a) the trigger — a professional who learns that a number already relied on is materially wrong, or was wrong when issued, is obliged to correct it, and the obligation is not discharged by the number having been superseded internally; (b) the decision rights — the correction is owned by the person who signed the original output, the decision to notify externally sits with the accountable principal (sponsor CFO / mandated adviser's engagement partner), and no commercial party may veto a correction that is required; (c) the timing and route — corrected before the next decision that would rely on it, and where the recipient is a lender, through the channel the finance documents specify rather than informally; (d) the record — what was wrong, when it was known, who was told, when, and what the corrected figure is. Add the standing caution that whether a specific non-correction engages a representation, a warranty or an event of default is a question for counsel on the finance documents, and cross-refer forward to Domain 6 Case study B and Domain 13. Add a mirror sentence to Domain 6's ""Executive perspective"" bullet on model governance.",unassigned,unassigned — Gate 3,Open
PFL-03,PFL-AI,"domain-04-investment-appraisal.md — Knowledge Area 4.3 ""Decision contexts"" and ""Industry variations — Domain 4 → Public-sector appraisal""",major,"The domain teaches only the sponsor's decision rule. The grantor's decision rule — value for money tested against a public sector comparator, inside a stated affordability envelope — is absent from the entire 16-domain corpus (a grep for ""value for money"", ""public sector comparator"" and ""affordability"" across all sixteen manuscripts returns three unrelated hits). This matters more here than in most books because the corpus's own centre of gravity is PPP and concession finance: Kestrel is a water concession, Domain 7 is built on availability payments and a grantor payment mechanism, Domain 5 turns on consents and grantor approvals, and Domain 12 is transaction structure. A certified professional therefore finishes the book able to compute an NPV, an IRR, an EAV and a PI for a bidder, and with no account of why a bid that is comfortably NPV-positive to the sponsor may nonetheless be rejected — because it fails the grantor's VfM test, or because the availability payment stream does not fit the authority's budget envelope. The single existing bullet handles the social discount rate well and accurately (""prescribed rather than chosen"", jurisdiction-specific, read at the date of the appraisal) but stops there.","Add a topic to KA 4.3 — ""The other side of the table: how a public grantor decides"" — stating in the book's own words: that a public authority's test is typically whether the concession/PPP route delivers better whole-life value than a conventionally procured alternative, that the comparison is against a constructed counterfactual, and that it is a comparison of risk-adjusted whole-life cost rather than of return; that it is separately constrained by an affordability envelope which is a budget fact and not an appraisal output, so a proposal can pass VfM and still fail affordability; that the discount rate, the risk adjustments and the required sensitivities are set by published guidance rather than by the analyst, and that the guidance differs by jurisdiction and is revised — read at the date of the appraisal, never assumed. State the professional consequence for a bidder: the winning bid is the one that is fundable to the sponsor *and* passes both grantor tests, and a bid team that models only its own NPV has modelled half the decision. Expand the existing industry-variations bullet to point to the new topic. No external guidance document should be reproduced or summarised — name the practice and point to the owning authority, consistent with STANDARDS.md's stated policy.",unassigned,unassigned — Gate 3,Open
PFL-04,PFL-AI,"domain-05-development-bankability.md — ""5.2.3 The shareholders' agreement: shares, support and dilution""",major,"The definition names six things the shareholders' agreement fixes — equity share, funding obligation, liability basis, reserved matters, transfer restrictions, deadlock resolution and default/dilution mechanics — and then develops only the liability basis (excellently: several versus joint-and-several is priced at a 3.25× swing for the smallest holder). Reserved matters, transfer restrictions and deadlock resolution are never mentioned again in this domain or anywhere in the corpus; ""reserved matter"", ""deadlock"" and ""pre-emption"" return zero hits across all sixteen manuscripts. This is the book's largest single gap on the audit's ""who owns the decision and who may approve it"" question, because the shareholders' agreement is precisely where the SPV's decision rights are allocated: which decisions the board may take alone, which require a supermajority or unanimity (budget approval, additional indebtedness, a variation above a threshold, a change of the business plan, appointment of the operator, entering a related-party contract), how a deadlock on any of them is broken, and what a sponsor can and cannot do with its stake. A 10 % industrial partner whose consent is needed for a budget is a very different counterparty from one whose consent is not, and the text gives no way to tell them apart.","Extend 5.2.3 with ""Control: reserved matters, transfers and deadlock"", covering: the typical reserved-matter classes and why each is reserved (anything that changes the risk the minority underwrote — budget, additional debt, business-plan change, related-party contracting, disposal, insolvency filing); the interaction with the finance documents, since several of those matters also require lender consent, so a decision can need two approvals and the sponsor register must show both; transfer restrictions and their bankability role (lock-in through construction, pre-emption, change-of-control consent under the concession, and the fact that lenders' security is over shares that may not be freely transferable); deadlock mechanisms and the point that the choice of mechanism decides who effectively controls the vehicle; and default/dilution mechanics tied back to the funding obligation already priced in the worked example. Add a decision-rights line to Toolkit 5.T.2 (""Sponsor commitment and support schedule"") recording, per decision class, who proposes, who approves, whether lender consent is also required, and what happens on deadlock. Retain the section's existing counsel caution and extend it to these terms.",unassigned,unassigned — Gate 3,Open
PFL-05,PFL-AI,"domain-05-development-bankability.md — KA 5.3 ""AI in this KA"" (identical defect at domain-06 §6.4.4, domain-07 KA 7.1 and KA 7.4 ""AI in this KA"", domain-08 KA 8.1 ""AI in this KA"")",major,"The AI sections are strong on epistemic limits and silent on the data-handling precondition. Domain 1 KA 1.3.3 states the rule once — ""Confidentiality travels with the data. Deal information entering an AI tool is a disclosure; it happens only within approved, contracted environments"" — and it is never carried into a single Knowledge Area of Domains 2–8, even though those sections actively instruct the practitioner to feed the most confidential material in a transaction into a tool: D5 (""extracting defined terms, tenors, indexation formulae, termination provisions and conditions precedent"" from unsigned project documents), D7 (""extracting the payment mechanism"" from an offtake contract, and counterparty credit assessment), D8 (""comparing a new estimate's unit rates, quantities and factored allowances against a library of prior estimates and outturns""), D6 (the financing model and term sheet). Two of these carry a risk the book never names at all: the D8 benchmarking use implies processing other clients' or other projects' confidential outturn cost data, which is a confidentiality question and, where the parties compete, potentially a competition-law one; and contract extraction under a project NDA is frequently a permitted-recipient question rather than a tool-quality question. An AI section that describes capability without stating the limit is exactly the defect this audit is asked to find, and here it recurs at every KA.","Add a one-line data precondition to each ""AI in this KA"" block, immediately before the ""where it must not go"" paragraph, in the book's existing voice — e.g. ""Before any of this: the material is a confidential project document. It is processed only in an environment approved for that data classification and permitted by the confidentiality undertakings that cover it; establishing that is a precondition of the task, not a review of it."" For D8 KA 8.1 add the specific caution that a benchmark library assembled from other projects' or other clients' outturns may be used only where the source engagements permit it, and that anonymisation of a benchmark set that contains a single comparable is not anonymisation. For D7 KA 7.1 and 7.4 add that unsigned drafts and counterparty credit assessments are the highest-classification material in the transaction. Cross-refer each back to Domain 1 KA 1.3.3 and forward to Domain 16.",unassigned,unassigned — Gate 3,Open
PFL-06,PFL-AI,"domain-06-financial-modelling.md — ""6.4.3 Model audit, governance and its economics"" and ""Toolkit 6.T.3 — Model governance register""",major,"The domain titled ""Financial Modelling and Model Governance"" describes governance entirely as an internal discipline — version register, input provenance, named owner, change control, golden answers — and never establishes that in a limited-recourse financing the model becomes a contractual object. Missing: that the model agreed at close is a defined term in the finance documents (base case / initial financial model), that it is locked at close, that it may be amended only with the lenders' or agent's consent, that it is the reference against which every subsequent compliance certificate and ratio test is produced, and that the sponsor typically represents that it was prepared in good faith on assumptions believed reasonable. The whole 16-domain corpus contains one passing clause on this (domain-13, ""the base-case model agreed and locked""), so the governance KA never tells the reader who may change the model after close or what the consequence of an unconsented change is. Separately, neither 6.4.3 nor Toolkit 6.T.3 states any record-retention expectation: the register captures version, author, reviewer, provenance and audit findings, but not how long the closing model, its audit report, its provenance table and its AI-edit log must be retained, in what form, or by whom — even though these are the artefacts a leader would need to defend a decision years later.","Add a subsection to 6.4.3 — ""The model after close"" — stating: the closing model becomes a defined contractual object; the amendment mechanism (who may propose, who must consent, what evidence accompanies a proposed amendment); that the updated/operating model used for covenant certification must reconcile to it and that the reconciliation is itself a deliverable; that the model is the factual basis of a representation and therefore that a discovered error engages the duty to correct (cross-refer Domain 1 KA 1.3.1 and the finding above); and the standing caution that the precise defined term, consent threshold and representation wording are drafting matters for counsel and vary by facility. Add two lines to Toolkit 6.T.3: a **retention** line (closing model, model-audit report, provenance table, change log and AI-edit log retained for the life of the facility plus the applicable limitation period, in a form that opens without the original toolchain, with a named custodian) and an **access-control** line (who may open the authoritative file read-write, and what happens to custody on personnel change).",unassigned,unassigned — Gate 3,Open
PFL-07,PFL-AI,"domain-07-revenue-demand-commercial.md — ""7.1.3 Availability payments and the deduction mechanism""",major,"The section quantifies the deduction mechanism to a high standard (the 1.5× multiplier is shown to cost 1.584 availability points of covenant tolerance) and then omits the entire governance layer that determines whether a deduction is ever actually applied. Nothing is said about: who measures availability and from what system; whether the SPV self-reports or an independent party certifies; what evidence must be retained to defend a disputed month; the dispute route and its escalation (expert determination, and who bears the cost); and — the item with a direct cash consequence the domain otherwise cares about — whether deductions are applied pending resolution, which converts a disputed operational judgment into an immediate coverage-ratio event before anyone has ruled on it. The text tells the reader that caps, cure periods, planned-outage allowances and the treatment of force majeure and offtaker-caused unavailability are ""first-order commercial terms, not schedules for the technical adviser"", which is right, and then does not tell them who decides any of it. A grep of the domain finds no occurrence of certification, metering, dispute or expert determination in any revenue context.","Add a subsection ""Who measures, who certifies, and what happens while it is disputed"" after the worked example, covering: the measurement source and its calibration/audit regime as a bankability condition (a deduction formula is only as good as the metering behind it); the certification chain and whether the offtaker, an independent engineer or the SPV produces the primary record; the retention requirement for the underlying availability data through the dispute-limitation period; the escalation route and who may settle a deduction claim on the SPV's behalf (and the lock that a settlement affecting a covenant ratio is not a purely operational decision); and the cash-timing consequence of a pay-then-argue mechanism, with the standing caution that whether deductions are applied pending resolution, and what remedies attach to a wrongful deduction, are drafting questions for counsel in the governing jurisdiction. Add the corresponding lines to Toolkit 7.T.1 (""Revenue mechanism specification"").",unassigned,unassigned — Gate 3,Open
PFL-08,PFL-AI,"domain-09-funding-structure-capital.md — KA 9.4, §9.4.1 ""Forms of government support"" and §9.4.2 ""Grants and concessional tranches""",major,"The government-support topic quantifies fiscal cost, allocation (G1 vs G2) and grant element to two decimal places but never raises the legality of the support itself. It is not stated that capital grants, concessional loans, guarantees and tax incentives are commonly subject to subsidy-control / State-aid regimes and to international subsidies disciplines; that where support is granted unlawfully it is characteristically recoverable **from the beneficiary, with interest**, which is a project-killing exposure sitting directly on the funding plan the topic is teaching the reader to build; that lenders therefore require legal confirmation of lawful grant as a condition precedent and as a diligence item; or who obtains that confirmation and what evidence must exist. The phrase ""state-aid and subsidy-control regimes"" appears exactly once in the domain — inside the KA 9.4 ""AI in this KA"" paragraph as something a model must not opine on — so the concept is flagged as an AI limit but never established as a practitioner obligation. Domain 13's condition-precedent categories (§13.3.1) do not carry it either.","Add a closing paragraph to §9.4.1: state that every form in the table must be lawfully granted under the applicable subsidy-control régime; that the consequence of unlawful support is typically recovery from the project company with interest, and is therefore a funding-plan risk and not a grantor problem; that the professional requirement is a written legal confirmation of lawful grant (or of completed notification/approval where required), obtained before financial close, listed on the condition-precedent schedule with a named owner and retained with the closing set; and that the applicable régime, its thresholds and its recovery consequences are jurisdiction-specific and change. Cross-reference it into Domain 13 §13.3.1 as a third-party condition category.",unassigned,unassigned — Gate 3,Open
